ID,이름,위도,경도,지역코드
1,성산일출봉 [유네스코 세계자연유산],33.45811112,126.9415156,3
2,표선 해비치 해변,33.32564354,126.8396358,3
3,도두동 무지개해안도로,33.50938958,126.4724746,3
4,방선문,33.45429361,126.5169053,3
5,오현단,33.5102931,126.5255811,3
6,알뜨르비행장 및 일본군 비행기 격납고,33.20312307,126.2727655,3
7,용수항,33.32356086,126.1649638,3
8,갯깍주상절리대,33.30052845,126.4156981,3
9,구시물,33.29539761,126.7120031,3
10,하고수동해변,33.51427461,126.9574574,3
11,산지천,33.51620641,126.5299611,3
12,만장굴 (제주도 국가지질공원),33.52804785,126.7706788,3
13,화조원,33.41133773,126.3720161,3
14,비양도선착장,33.41909071,126.2625727,3
15,나홀로나무,33.35095238,126.3492166,3
16,월정사(제주),33.46676157,126.5100973,3
17,서귀포 가시리마을 (녹산로 유채꽃도로),33.35327551,126.7716355,3
18,천제연폭포,33.252656,126.4184295,3
19,협재포구,33.38222792,126.2498107,3
20,평화통일 불사리탑,33.5319647,126.6362432,3
21,한라산 영실,33.34023064,126.4803111,3
22,쇠소깍,33.25217874,126.6231007,3
23,성산포성당,33.45399168,126.913657,3
24,서귀포자연휴양림,33.31081973,126.4630827,3
25,휴림,33.44381004,126.4287993,3
26,물드리네,33.32274247,126.2269446,3
27,검멀레해변,33.49672951,126.9685513,3
28,산지 등대,33.52091447,126.5456624,3
29,교래 삼다수마을,33.4363537,126.6768835,3
30,동광리농촌체험마을,33.30665431,126.337102,3
31,판포포구,33.3654401,126.1996321,3
32,마라도(마라해양도립공원),33.11863508,126.2674345,3
33,북촌 돌하르방공원,33.5396036,126.6896606,3
34,비밀의 숲,33.45377803,126.7552818,3
35,월정리해변(월정리해수욕장),33.55465368,126.7983897,3
36,신화워터파크,33.30725953,126.319748,3
37,약천사(제주),33.24536563,126.4496742,3
38,고살리 숲길,33.31729338,126.5984791,3
39,성산세화해안도로,33.51009092,126.9065285,3
40,김녕항 / 김녕포구,33.55807736,126.7400447,3
41,선흘2리마을,33.45690759,126.7142937,3
42,이중섭 문화거리,33.24763941,126.5640059,3
43,조랑말체험공원,33.38333551,126.7358351,3
44,하멜기념비,33.23374812,126.31465,3
45,새별오름,33.36736458,126.3570489,3
46,서귀진지,33.2432288,126.5648115,3
47,구두미포구,33.23706054,126.5968255,3
48,신산공원,33.5052799,126.5337916,3
49,고내포구,33.4670588,126.337915,3
50,한림항,33.41909071,126.2625727,3
51,불탑사(제주),33.52915884,126.5978743,3
52,사라봉(모충사) 의병항쟁기념탑,33.51617335,126.5470457,3
53,서귀포 예래생태마을,33.25425828,126.3979423,3
54,신풍 신천 바다목장,33.35600169,126.8638108,3
55,고배기동산,33.33083012,126.3817115,3
56,제주향교,33.51115952,126.5158347,3
57,화북포구,33.52553648,126.5645634,3
58,한라생태숲,33.43194182,126.5982321,3
59,한라산 (제주도 국가지질공원),33.39273062,126.4948725,3
60,보덕사(제주),33.49170361,126.532492,3
61,소인국테마파크,33.29071973,126.3221787,3
62,우도(해양도립공원),33.51950171,126.95103,3
63,월령포구,33.3785528,126.2163109,3
64,제주양떼목장,33.41138206,126.3652278,3
65,신창풍차해안도로,33.34344769,126.1739015,3
66,성산포JC공원,33.43921268,126.909105,3
67,사수항,33.50962856,126.4795267,3
68,대포해안,33.23802162,126.4260597,3
69,금능해수욕장,33.38983796,126.2353396,3
70,송악산,33.19945153,126.2907751,3
71,형제섬,33.20801477,126.3092289,3
