ID,이름,위도,경도,분류코드,지역코드
1,서촌친구네,37.57658905,126.9706548,1,1
2,아리랑,37.57653685,127.0025463,1,1
3,암사민물장어,37.55499163,127.1289799,1,1
4,종로설렁탕,37.57003738,126.989781,1,1
5,찬양집,37.5728815,126.9902864,1,1
6,"꽃,밥에피다",37.57534221,126.9840397,1,1
7,우주정,37.48271257,126.8993362,1,1
8,벽제갈비 방이,37.51007457,127.1261508,1,1
9,진고개,37.56309101,126.9928031,1,1
10,충남식당,37.51492339,126.9368568,1,1
11,[백년가게]진미옥설농탕,37.50121418,127.1092721,1,1
12,무궁화 롯데호텔서울,37.56547943,126.9816347,1,1
13,맛다오리구이,37.57816969,126.9858145,1,1
14,광명수산,37.50570127,126.8826676,1,1
15,온마을,37.58672973,126.9815507,1,1
16,원대구탕,37.53473009,126.9742362,1,1
17,청해진,37.52831406,127.122509,1,1
18,[백년가게]청해진,37.52487843,127.1274392,1,1
19,한방족발,37.54477299,126.9532295,1,1
20,명동솥뚜껑,37.56447404,126.9845983,1,1
21,한쿡 N서울타워,37.55110899,126.9878984,1,1
22,자하손만두,37.5931176,126.9660047,1,1
23,곰국시집 명동,37.56307422,126.9855927,1,1
24,[백년가게]선동보리밥,37.59477349,126.9951659,1,1
25,원곱창,37.57634741,126.9705937,1,1
26,서촌돌솥,37.57889157,126.9712047,1,1
27,우리집떡볶이,37.56265813,127.0149234,1,1
28,[백년가게]성천막국수,37.5699525,127.0578331,1,1
29,갯마을,37.52310081,126.9703091,1,1
30,화로흑돈돈,37.57084007,126.9901726,1,1
31,체부동잔치집돼지갈비,37.57660017,126.9710686,1,1
32,이화감자국,37.58765069,126.9169899,1,1
33,동대문정육식당,37.57124317,127.0110068,1,1
34,더식당 명동,37.56232708,126.9855566,1,1
35,쌍대포 맷돌순두부,37.52177796,126.9266298,1,1
36,호밀밭,37.55893223,126.9406191,1,1
37,고래불,37.49634673,127.0339874,1,1
38,너비집,37.56558223,126.98379,1,1
39,김가네가마솥설렁탕,37.56506255,126.8119196,1,1
40,서당골,37.64712613,127.017318,1,1
41,최대감네,37.57405351,126.9861146,1,1
42,스미스가 좋아하는 한옥,37.57803072,126.9800483,1,1
43,[백년가게]신안촌,37.57569193,126.9709076,1,1
44,봉래헌(메이필드호텔),37.54788135,126.819486,1,1
45,송원,37.56096093,127.0051576,1,1
46,아오리의행방불명 홍대,37.55118005,126.9235542,1,1
47,계림마늘닭,37.56244669,126.9955418,1,1
48,팔도명가산야채순대국,37.48719746,127.0156088,1,1
49,게방식당,37.51733606,127.0394696,1,1
50,암돼지오양식관,37.57100107,126.9854036,1,1
51,종로명태덕장,37.57004294,126.9901254,1,1
52,명품기사식당뚝다리김치찌개,37.54141284,127.1396793,1,1
53,대풍간장게장생선구이,37.51090031,127.0179523,1,1
54,효자바베,37.57681679,126.9701326,1,1
55,처마끝 하늘풍경,37.57492562,126.985334,1,1
56,서석대,37.49516049,127.0194526,1,1
57,명동부대찌개 명동황기족발,37.56415184,126.9837706,1,1
58,아리랑,37.56387404,126.9805681,1,1
59,오소리순대,37.59054695,127.0371539,1,1
60,종점떡볶이,37.56265813,127.0149234,1,1
61,용금옥,37.56772359,126.9805264,1,1
62,신당동천팥죽,37.56794366,127.016637,1,1
63,정동국시,37.5678706,126.9699051,1,1
