ID,이름,위도,경도,지역코드
1,반얀트리 클럽 앤 스파 서울,37.55012877,127.000525,1
2,하이서울유스호스텔,37.52513549,126.9032235,1
3,아모렉스관광호텔,37.56366116,127.0353298,1
4,라자호텔,37.51544029,127.1082634,1
5,Nu Motel(엔유모텔),37.51097365,127.0808744,1
6,트리아 관광호텔,37.50292662,127.0394284,1
7,유로파라텔,37.5001993,126.8921252,1
8,고궁호텔,37.57577572,126.9968246,1
9,르아브르,37.54605984,126.8475613,1
10,씨엘모텔(CL모텔),37.52839232,126.8405847,1
11,칼튼호텔,37.5545395,126.8524717,1
12,쿠즈모텔,37.57641442,126.9899891,1
13,LikeU(라이크유),37.55642951,126.927887,1
14,초콜릿,37.52933677,126.8467646,1
15,서울 선샤인호텔,37.52062715,127.0287872,1
16,동서울 관광호텔,37.53422393,127.0919227,1
17,지유,37.57373465,127.0164674,1
18,쭈니홈(Juny home),37.56077897,126.9256871,1
19,하우스테이(HOUSETAY),37.55559624,126.9255984,1
20,노보텔 앰배서더 강남,37.50541503,127.0290348,1
21,베스트웨스턴 프리미어 서울가든호텔,37.54089002,126.9483051,1
22,김치한옥게스트하우스,37.57809721,126.9710825,1
23,Cozy Lodge,37.48980157,126.9515979,1
24,로얄호텔서울,37.56443796,126.9858787,1
25,밀레니엄 힐튼 서울,37.55554436,126.9754633,1
26,이브(이브게스트하우스),37.55854421,126.9867594,1
27,부티크호텔 르릿,37.56642143,127.0064351,1
28,그랜드 워커힐 서울,37.55522183,127.1107898,1
29,롯데호텔서울,37.56540165,126.9810458,1
30,코리아나 호텔,37.56787072,126.9762823,1
31,웨스틴 조선 서울,37.56452118,126.9800598,1
32,프레지던트 호텔,37.5656518,126.9910032,1
33,서울신라호텔,37.55593373,127.0051689,1
34,뉴서울호텔,37.5679763,126.978196,1
35,서울 크라운 관광호텔,37.53180294,126.9904487,1
36,퍼시픽 호텔,37.5599107,126.98539,1
37,메트로호텔,37.56519894,126.9837622,1
38,서울프린스호텔,37.56073006,126.9863038,1
39,호텔PJ,37.56496863,126.9956973,1
40,임피리얼 팰리스 호텔,37.51366975,127.0358867,1
41,호텔 리베라,37.52391889,127.0543431,1
42,해밀톤 호텔,37.53479432,126.9937511,1
43,그랜드 인터컨티넨탈 서울 파르나스,37.50959845,127.0608846,1
44,호텔 프리마,37.5241355,127.0522655,1
45,임피리얼 팰리스 부티크 호텔,37.53541655,126.9982451,1
46,자이언트 호텔,37.5123646,127.0497661,1
47,The-K호텔서울 (더케이호텔서울),37.46826108,127.0330577,1
48,동화킴스관광호텔,37.60950475,126.9751368,1
49,JW 메리어트 호텔 서울(JW Marriott Hotel Seoul),37.50497018,127.0032288,1
50,인터컨티넨탈 서울코엑스,37.51293133,127.057307,1
51,호텔 레이크,37.50693282,127.1010366,1
52,메이필드호텔,37.54788135,126.819486,1
53,파크 하얏트 서울,37.50871528,127.0642648,1
54,나이아가라호텔,37.54927946,126.8786334,1
55,캘리포니아 관광호텔,37.4941624,127.1191575,1
56,소라모텔,37.55710193,126.9433412,1
57,호텔스타,37.50234324,127.0333151,1
58,베니키아 홈 the M호텔,37.56384228,126.9133048,1
59,호텔가을,37.55677688,126.938025,1
60,레인보우호텔,37.54149871,126.9721584,1
61,카라모텔,37.57233154,126.9892088,1
62,호텔명동,37.56078271,126.9794572,1
63,호텔아띠,37.56066638,126.9972167,1
64,연우하우스[한국관광 품질인증/Korea Quality],37.58233587,126.9853283,1
65,담소정[한국관광 품질인증/Korea Quality],37.58139707,126.9842978,1
66,엠 더블류(MW),37.51132366,127.0834602,1
67,문게스트하우스 [한국관광 품질인증/Korea Quality],37.57634218,126.988742,1
68,(K-POP)케이팝레지던스 충무로점,37.5644631,126.9938363,1
69,인우하우스[한국관광 품질인증/Korea Quality],37.58276362,126.9869726,1
70,24게스트하우스 서울역점,37.55171422,126.9741246,1
71,북촌마루한옥게스트하우스 [한국관광 품질인증/Korea Quality],37.58320247,126.9874642,1
72,베니키아 서울 호텔,37.55680048,126.8599154,1
73,메리골드 호텔,37.55331029,126.9197545,1
74,청연재[한국관광 품질인증/Korea Quality],37.58031388,126.9856533,1
75,리치다이아몬드호텔,37.64763993,127.0156237,1
76,오크우드 프리미어 코엑스,37.51096491,127.0580653,1
77,베니키아 프리미어 호텔 베르누이,37.4974238,126.8459628,1
78,써미트 호텔 서울,37.56230525,127.0068408,1
79,호텔 이채,37.55645748,126.9383722,1
80,MK 리버티하우스,37.55464712,126.9686445,1
81,호텔 더 디자이너스 종로점,37.57215374,126.9869145,1
82,케이팝호텔 서울역점,37.55478609,126.9741273,1
83,포포인츠 바이 쉐라톤 조선 서울역,37.55117815,126.9729275,1
84,브라운스위트서울,37.56097138,126.9683443,1
85,게스트하우스서울삼촌[한국관광 품질인증/Korea Quality],37.5826081,126.987492,1
86,베스트웨스턴 프리미어 호텔국도,37.56633792,126.9962222,1
87,베스트웨스턴 아리랑힐 동대문,37.59372677,127.0167029,1
88,제리스플래닛,37.49910464,127.0285128,1
89,누하당[한국관광 품질인증/Korea Quality],37.58034968,126.9681271,1
90,다자연한옥스테이 [한국관광 품질인증/Korea Quality],37.57395085,126.9918363,1
91,시은재[한국관광 품질인증/Korea Quality],37.57370357,126.9872478,1
92,호스텔 하루,37.56899295,126.9842926,1
93,남산호스텔,37.55808312,126.984604,1
94,57명동호스텔[한국관광 품질인증/Korea Quality],37.56100498,126.983393,1
95,티마크그랜드호텔 명동,37.55838853,126.9784351,1
96,풍경[한국관광 품질인증/Korea Quality],37.58564681,126.9972243,1
97,롯데호텔 L7 명동,37.56427129,126.9848483,1
98,서촌게스트하우스[한국관광 품질인증/Korea Quality],37.57909154,126.9706492,1
99,롯데시티호텔 명동,37.5669377,126.988059,1
100,딜라이트 호텔 (HOTEL DELIGHT),37.5181844,127.1071912,1
101,롯데시티호텔 구로,37.48508447,126.8966252,1
102,라마다 앙코르 서울 동대문,37.57616787,127.0260442,1
103,혜화1938 [한국관광 품질인증/Korea Quality],37.58957693,126.9986796,1
104,교대게스트하우스[한국관광 품질인증/Korea Quality],37.49318017,127.0194916,1
105,예본의 집[한국관광 품질인증/Korea Quality],37.49489503,127.0847856,1
106,잠실 상주호텔,37.51013208,127.0805828,1
107,코트야드 메리어트 서울 남대문,37.56125205,126.9768963,1
108,호텔 루체브릿지 [한국관광 품질인증/Korea Quality],37.55962473,126.8361731,1
109,롯데호텔 L7 강남,37.50576817,127.0516661,1
110,스탠포드호텔 서울,37.58241187,126.8866623,1
111,베니키아 프리미어 여의도 호텔,37.51383435,126.9215888,1
